,,,,
,,,,
,NOMBRE DE TRYTON,NOMBRE SIMPLIFICADO PARA FACTURADOR,D,GLOSA - PARA CONTABILIDAD
,[M001-00052] MOXIFLOXACINO 5mg + DEXAMETASONA 1mg (VIGADEXA),MOXIFLOXACINO 5mg + DEXAMETASONA 1mg (VIGADEXA),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00052] MOXIFLOXACINO 5mg + DEXAMETASONA 1mg (VIGADEXA),MOXIFLOXACINO 5mg + DEXAMETASONA 1mg (VIGADEXA),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00053] SOLUCION ESPUMOSA PARA LA LIMPIEZA DE PARPADOS Y PESTAÑAS (SPRAINER),SOLUCION ESPUMOSA PARA LA LIMPIEZA DE PARPADOS Y PESTAÑAS (SPRAINER),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,"[M001-00057] HIALURONATO DE SODIO 0,4% (LUBRIAL)","HIALURONATO DE SODIO 0,4% (LUBRIAL)",VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00060] LATANOPROST (MONOPROST),LATANOPROST (MONOPROST),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00064] PROTECTOR OCULAR HIPOALERGÉNICO (OFTAM),PROTECTOR OCULAR HIPOALERGÉNICO (OFTAM),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00067] HIALURONATO DE SODIO 1mg/ml (HYALO ADVANCE SP),HIALURONATO DE SODIO 1mg/ml (HYALO ADVANCE SP),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,"[M001-00069] KETOROLACO TROMETAMOL 0,4% (ACULAR LS)","KETOROLACO TROMETAMOL 0,4% (ACULAR LS)",VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00070] PREDNISOLONA 1% (PREDSO),PREDNISOLONA 1% (PREDSO),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00097] ISDIN UREADIN ULTRA 20 CREAM - 100ml,ISDIN UREADIN ULTRA 20 CREAM - 100ml,VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00100] ISDIN FOTOPROTECTOR FUSION WATER LIGHT - 50ml,ISDIN FOTOPROTECTOR FUSION WATER LIGHT - 50ml,VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00118] TOBRAMICINA 0.3% + DEXAMETASONA 0.1% (TRAZIDEX UNGUENTO),TOBRAMICINA 0.3% + DEXAMETASONA 0.1% (TRAZIDEX UNGUENTO),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,"[M001-00121] BROMFENACO 0,09% (BRONAX)"," BROMFENACO 0,09% (BRONAX)",VENTA DE MEDICAMENTOS,MEDICAMENTOS
,"[M001-00124] HIALURONATO DE SODIO 0,4% (OFTAFILM SP)","HIALURONATO DE SODIO 0,4% (OFTAFILM SP)",VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00126] LATANOPROST 0.050 MG + TIMOLOL 5 MG (LANOPROST PLUS),LATANOPROST 0.050 MG + TIMOLOL 5 MG (LANOPROST PLUS),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00127] HIPROMELOSA DEXTRAN 3-1 MG/ML (NICOTEARS),HIPROMELOSA DEXTRAN 3-1 MG/ML (NICOTEARS),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,"[M001-00128] BRIMONIDINA TARTRATO 0,2% (NAMAX)","BRIMONIDINA TARTRATO 0,2% (NAMAX)",VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00131] TOALLAS HUMEDAS PARA LA LIMPIEZA DE PARPADOS Y PESTAÑAS (SPRAINER T4-O),TOALLAS HUMEDAS PARA LA LIMPIEZA DE PARPADOS Y PESTAÑAS (SPRAINER T4-O),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00132] LUTEINA + VITAMINA C + VITAMINA E + ZINC + COBRE (DIARIS),LUTEINA + VITAMINA C + VITAMINA E + ZINC + COBRE (DIARIS),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00133] TOBRAMICINA 0.3% + DEXAMETASONA 0.1% (TRAZIDEX GOTAS),TOBRAMICINA 0.3% + DEXAMETASONA 0.1% (TRAZIDEX GOTAS),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,"[M001-00135] LOTEPREDNOL ETABONATO 0,5% (OFTOL FORTE)","LOTEPREDNOL ETABONATO 0,5% (OFTOL FORTE)",VENTA DE MEDICAMENTOS,MEDICAMENTOS
,"[M001-00136] BRIMONIDINA TARTRATO 0,2% (BRIMOF)","BRIMONIDINA TARTRATO 0,2% (BRIMOF)",VENTA DE MEDICAMENTOS,MEDICAMENTOS
